FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2021-03-18,SkyWest Airlines Inc.,DTW,DEN,False,False,910,903.0,0.0,-7.0,1021.0,0.0,160.0,205.0,198.0,1123.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4752,OO,20304,OO,N156SY,4752,11433,1143302,31295,"Detroit, MI",MI,26,Michigan,43,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,0900-0959,15.0,918.0,958.0,23.0,1035,-14.0,0.0,-1.0,1000-1059,5,0.0
2021-03-18,SkyWest Airlines Inc.,AUS,IAH,False,False,1220,1218.0,0.0,-2.0,1316.0,0.0,32.0,65.0,58.0,140.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4754,OO,20304,OO,N108SY,4754,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1200-1259,16.0,1234.0,1306.0,10.0,1325,-9.0,0.0,-1.0,1300-1359,1,0.0
2021-03-18,SkyWest Airlines Inc.,MSO,DEN,False,False,1444,1501.0,17.0,17.0,1646.0,0.0,89.0,122.0,105.0,679.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4756,OO,20304,OO,N128SY,4756,13486,1348602,33486,"Missoula, MT",MT,30,Montana,84,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,1.0,1.0,1400-1459,10.0,1511.0,1640.0,6.0,1646,0.0,0.0,0.0,1600-1659,3,0.0
2021-03-18,SkyWest Airlines Inc.,ASE,IAH,False,False,700,652.0,0.0,-8.0,1013.0,0.0,111.0,154.0,141.0,913.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4763,OO,20304,OO,N792SK,4763,10372,1037205,30372,"Aspen, CO",CO,8,Colorado,82,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,19.0,711.0,1002.0,11.0,1034,-21.0,0.0,-2.0,1000-1059,4,0.0
2021-03-18,SkyWest Airlines Inc.,IAH,BNA,False,False,1425,1536.0,71.0,71.0,1732.0,74.0,90.0,113.0,116.0,657.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4765,OO,20304,OO,N142SY,4765,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,1.0,4.0,1400-1459,21.0,1557.0,1727.0,5.0,1618,74.0,1.0,4.0,1600-1659,3,0.0
2021-03-18,SkyWest Airlines Inc.,ORD,CVG,False,False,1405,1450.0,45.0,45.0,1724.0,63.0,55.0,76.0,94.0,264.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4768,OO,20304,OO,N105SY,4768,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,11193,1119302,33105,"Cincinnati, OH",KY,21,Kentucky,52,1.0,3.0,1400-1459,35.0,1525.0,1720.0,4.0,1621,63.0,1.0,4.0,1600-1659,2,0.0
2021-03-18,SkyWest Airlines Inc.,DFW,IAH,False,False,1415,1432.0,17.0,17.0,1544.0,10.0,48.0,79.0,72.0,224.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4772,OO,20304,OO,N623UX,4772,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,1.0,1.0,1400-1459,18.0,1450.0,1538.0,6.0,1534,10.0,0.0,0.0,1500-1559,1,0.0
2021-03-18,SkyWest Airlines Inc.,MSN,DEN,False,False,851,851.0,0.0,0.0,1030.0,0.0,123.0,159.0,159.0,826.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4776,OO,20304,OO,N616UX,4776,13485,1348502,33485,"Madison, WI",WI,55,Wisconsin,45,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,0.0,0800-0859,27.0,918.0,1021.0,9.0,1030,0.0,0.0,0.0,1000-1059,4,0.0
2021-03-18,SkyWest Airlines Inc.,IAH,ASE,False,False,1205,1155.0,0.0,-10.0,1405.0,0.0,149.0,183.0,190.0,913.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4777,OO,20304,OO,N792SK,4777,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10372,1037205,30372,"Aspen, CO",CO,8,Colorado,82,0.0,-1.0,1200-1259,19.0,1214.0,1343.0,22.0,1408,-3.0,0.0,-1.0,1400-1459,4,0.0
2021-03-18,SkyWest Airlines Inc.,SLC,DEN,False,False,730,737.0,7.0,7.0,900.0,0.0,59.0,94.0,83.0,391.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4778,OO,20304,OO,N793SK,4778,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,0.0,0700-0759,17.0,754.0,853.0,7.0,904,-4.0,0.0,-1.0,0900-0959,2,0.0
2021-03-18,SkyWest Airlines Inc.,IAH,AUS,False,False,1155,1152.0,0.0,-3.0,1300.0,5.0,38.0,60.0,68.0,140.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4782,OO,20304,OO,N213SY,4782,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10423,1042302,30423,"Austin, TX",TX,48,Texas,74,0.0,-1.0,1100-1159,23.0,1215.0,1253.0,7.0,1255,5.0,0.0,0.0,1200-1259,1,0.0
2021-03-18,SkyWest Airlines Inc.,ORD,STL,False,False,1428,1427.0,0.0,-1.0,1549.0,0.0,43.0,82.0,82.0,258.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4783,OO,20304,OO,N150SY,4783,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,15016,1501606,31123,"St. Louis, MO",MO,29,Missouri,64,0.0,-1.0,1400-1459,34.0,1501.0,1544.0,5.0,1550,-1.0,0.0,-1.0,1500-1559,2,0.0
2021-03-18,SkyWest Airlines Inc.,PSP,LAX,False,False,635,1318.0,403.0,403.0,1357.0,391.0,26.0,51.0,39.0,110.0,2021,1,3,18,4,UA,UA_CODESHARE,19977,UA,4786,OO,20304,OO,N787SK,4786,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,1.0,12.0,0600-0659,10.0,1328.0,1354.0,3.0,726,391.0,1.0,12.0,0700-0759,1,0.0
